zone_id,district,duration,price,public_park_id
1,1,1,4.0,1
1,1,2,8.0,2
1,1,3,16.0,3
1,1,4,26.0,4
1,1,5,38.0,5
1,1,6,50.0,6
1,2,1,4.0,7
1,2,2,8.0,8
1,2,3,16.0,9
1,2,4,26.0,10
1,2,5,38.0,11
1,2,6,50.0,12
1,3,1,4.0,13
1,3,2,8.0,14
1,3,3,16.0,15
1,3,4,26.0,16
1,3,5,38.0,17
1,3,6,50.0,18
1,4,1,4.0,19
1,4,2,8.0,20
1,4,3,16.0,21
1,4,4,26.0,22
1,4,5,38.0,23
1,4,6,50.0,24
1,5,1,4.0,25
1,5,2,8.0,26
1,5,3,16.0,27
1,5,4,26.0,28
1,5,5,38.0,29
1,5,6,50.0,30
1,6,1,4.0,31
1,6,2,8.0,32
1,6,3,16.0,33
1,6,4,26.0,34
1,6,5,38.0,35
1,6,6,50.0,36
1,7,1,4.0,37
1,7,2,8.0,38
1,7,3,16.0,39
1,7,4,26.0,40
1,7,5,38.0,41
1,7,6,50.0,42
1,8,1,4.0,43
1,8,2,8.0,44
1,8,3,16.0,45
1,8,4,26.0,46
1,8,5,38.0,47
1,8,6,50.0,48
1,9,1,4.0,49
1,9,2,8.0,50
1,9,3,16.0,51
1,9,4,26.0,52
1,9,5,38.0,53
1,9,6,50.0,54
1,10,1,4.0,55
1,10,2,8.0,56
1,10,3,16.0,57
1,10,4,26.0,58
1,10,5,38.0,59
1,10,6,50.0,60
1,11,1,4.0,61
1,11,2,8.0,62
1,11,3,16.0,63
1,11,4,26.0,64
1,11,5,38.0,65
1,11,6,50.0,66
2,12,1,2.4,67
2,12,2,4.8,68
2,12,3,9.6,69
2,12,4,16.8,70
2,12,5,25.4,71
2,12,6,35.0,72
2,13,1,2.4,73
2,13,2,4.8,74
2,13,3,9.6,75
2,13,4,16.8,76
2,13,5,25.4,77
2,13,6,35.0,78
2,14,1,2.4,79
2,14,2,4.8,80
2,14,3,9.6,81
2,14,4,16.8,82
2,14,5,25.4,83
2,14,6,35.0,84
2,15,1,2.4,85
2,15,2,4.8,86
2,15,3,9.6,87
2,15,4,16.8,88
2,15,5,25.4,89
2,15,6,35.0,90
2,16,1,2.4,91
2,16,2,4.8,92
2,16,3,9.6,93
2,16,4,16.8,94
2,16,5,25.4,95
2,16,6,35.0,96
2,17,1,2.4,97
2,17,2,4.8,98
2,17,3,9.6,99
2,17,4,16.8,100
2,17,5,25.4,101
2,17,6,35.0,102
2,18,1,2.4,103
2,18,2,4.8,104
2,18,3,9.6,105
2,18,4,16.8,106
2,18,5,25.4,107
2,18,6,35.0,108
2,19,1,2.4,109
2,19,2,4.8,110
2,19,3,9.6,111
2,19,4,16.8,112
2,19,5,25.4,113
2,19,6,35.0,114
2,20,1,2.4,115
2,20,2,4.8,116
2,20,3,9.6,117
2,20,4,16.8,118
2,20,5,25.4,119
2,20,6,35.0,120
